pr_number,pr_owner,first_pr,pr_commits,pr_comments,merged,linked,sameOwner,comments,commentsB4,ownerComments,ownerCommentsB4,mergerComments,mergerCommentsB4
120,SEJeff,1,1,0,1,0,,,,,,,
137,owenn,1,1,1,1,0,,,,,,,
136,dekkers,0,1,5,0,0,,,,,,,
139,dhepper,0,1,0,0,0,,,,,,,
138,jameskyle,0,3,0,0,0,,,,,,,
141,jglazner,0,1,0,1,0,,,,,,,
140,jglazner,1,1,0,1,0,,,,,,,
143,whiteinge,0,1,0,1,0,,,,,,,
142,whiteinge,0,1,0,1,0,,,,,,,
129,geoffgarside,0,1,0,0,0,,,,,,,
128,mguegan,0,1,0,0,0,,,,,,,
131,amuraru,0,1,0,0,0,,,,,,,
130,mineo,1,1,0,1,0,,,,,,,
133,wraithan,0,1,0,0,0,,,,,,,
132,mattrobenolt,0,1,0,0,0,,,,,,,
135,wendall911,0,3,0,0,0,,,,,,,
134,scragg0x,0,1,0,0,0,,,,,,,
152,geoffgarside,0,1,1,0,0,,,,,,,
153,s0undt3ch,0,3,0,0,0,,,,,,,
154,melinath,0,1,0,0,0,,,,,,,
155,s0undt3ch,0,111,0,0,0,,,,,,,
156,s0undt3ch,0,2,0,0,0,,,,,,,
157,techtonik,0,1,0,0,0,,,,,,,
158,s0undt3ch,0,1,0,0,0,,,,,,,
159,s0undt3ch,0,2,0,0,0,,,,,,,
144,bclermont,0,1,0,0,0,,,,,,,
145,s0undt3ch,0,1,0,0,0,,,,,,,
8945,msabramo,0,0,0,0,0,,,,,,,
146,zsimic,0,1,0,0,0,,,,,,,
147,amuraru,0,2,0,0,0,,,,,,,
148,h3,0,1,0,0,0,,,,,,,
150,drawks,0,1,0,0,0,,,,,,,
151,timl,0,1,0,0,0,,,,,,,
171,ento,0,3,0,0,0,,,,,,,
170,ento,0,1,0,0,0,,,,,,,
169,f0rk,0,1,0,0,0,,,,,,,
168,mchesnut,0,1,0,0,1,0,0,0,0,0,,
174,whiteinge,0,6,0,1,0,,,,,,,
173,whiteinge,0,9,1,1,0,,,,,,,
163,wraithan,0,1,0,0,0,,,,,,,
162,whiteinge,0,1,0,1,1,0,0,0,0,0,0,0
161,whiteinge,0,4,1,1,0,,,,,,,
160,s0undt3ch,0,5,0,0,0,,,,,,,
167,whiteinge,0,1,0,0,0,,,,,,,
166,timl,0,1,0,0,0,,,,,,,
164,wraithan,0,1,0,0,0,,,,,,,
186,whiteinge,0,4,0,1,0,,,,,,,
187,whiteinge,0,1,0,1,0,,,,,,,
184,tonthon,0,1,0,0,0,,,,,,,
190,d0ugal,0,1,0,0,0,,,,,,,
188,msabramo,0,3,1,0,0,,,,,,,
189,whiteinge,0,2,0,1,0,,,,,,,
178,kjoconnor,0,3,5,0,0,,,,,,,
179,jesusaurus,0,3,0,0,0,,,,,,,
176,zyluo,0,1,0,0,0,,,,,,,
180,jesusaurus,0,1,0,0,0,,,,,,,
181,sephii,0,1,0,0,0,,,,,,,
205,crazysim,0,1,0,0,0,,,,,,,
204,wraithan,0,1,0,0,0,,,,,,,
207,markusgattol,0,1,0,0,0,,,,,,,
206,iffy,0,3,1,0,0,,,,,,,
201,dhepper,0,1,0,0,0,,,,,,,
200,techhat,0,1,0,1,0,,,,,,,
203,markusgattol,0,3,0,0,0,,,,,,,
202,markusgattol,0,2,0,1,0,,,,,,,
197,markusgattol,0,1,0,1,0,,,,,,,
196,markusgattol,0,4,0,1,0,,,,,,,
199,jeamland,0,1,0,0,0,,,,,,,
198,techhat,1,1,0,1,0,,,,,,,
193,brutasse,0,1,0,0,0,,,,,,,
192,JensRantil,0,2,0,0,1,0,2,2,0,0,,
195,markusgattol,0,3,0,1,0,,,,,,,
194,markusgattol,0,2,0,1,0,,,,,,,
220,mafrosis,0,6,0,0,0,,,,,,,
221,markusgattol,0,5,0,1,0,,,,,,,
222,imankulov,0,1,0,0,0,,,,,,,
223,dhepper,0,1,0,0,0,,,,,,,
216,whiteinge,0,1,0,1,0,,,,,,,
217,markusgattol,0,1,0,1,0,,,,,,,
218,markusgattol,0,2,0,1,0,,,,,,,
219,markusgattol,0,3,0,1,0,,,,,,,
212,slafs,0,1,0,0,0,,,,,,,
213,whiteinge,0,8,0,1,0,,,,,,,
215,markusgattol,0,1,0,0,0,,,,,,,
208,Ivoz,0,1,0,0,0,,,,,,,
209,markusgattol,0,1,0,1,0,,,,,,,
210,markusgattol,0,1,0,0,0,,,,,,,
211,markusgattol,0,3,0,0,0,,,,,,,
239,markusgattol,0,3,0,0,0,,,,,,,
238,miracle2k,0,1,0,0,0,,,,,,,
237,grischa,0,12,0,0,0,,,,,,,
236,romeotheriault,0,1,0,0,0,,,,,,,
234,markusgattol,0,1,0,0,0,,,,,,,
233,sephii,0,1,0,0,0,,,,,,,
232,markusgattol,0,4,0,1,0,,,,,,,
231,markusgattol,0,3,0,1,0,,,,,,,
230,markusgattol,0,15,0,1,0,,,,,,,
229,markusgattol,0,14,0,0,0,,,,,,,
228,markusgattol,0,13,0,0,0,,,,,,,
227,markusgattol,0,12,0,0,0,,,,,,,
226,markusgattol,0,11,0,1,0,,,,,,,
225,markusgattol,0,10,0,0,0,,,,,,,
224,imankulov,0,1,0,0,0,,,,,,,
254,markusgattol,0,1,0,1,0,,,,,,,
252,grischa,0,1,0,0,0,,,,,,,
250,jglazner,0,1,0,0,0,,,,,,,
251,carlopires,1,1,0,1,0,,,,,,,
248,rhyselsmore,0,1,0,0,0,,,,,,,
249,blast-hardcheese,0,3,0,0,0,,,,,,,
246,dekkers,0,0,0,0,0,,,,,,,
247,pcarrier,0,1,0,1,0,,,,,,,
244,harleypig,0,1,0,0,0,,,,,,,
245,harleypig,0,1,0,0,0,,,,,,,
242,whiteinge,0,3,0,1,0,,,,,,,
243,nestegg,1,1,0,1,0,,,,,,,
240,whiteinge,0,1,0,1,0,,,,,,,
241,whiteinge,0,1,0,1,0,,,,,,,
275,whiteinge,0,6,0,1,0,,,,,,,
274,whiteinge,0,1,0,1,0,,,,,,,
273,nestegg,0,1,0,1,0,,,,,,,
272,nestegg,0,6,0,1,0,,,,,,,
279,uggedal,1,1,0,1,0,,,,,,,
278,whiteinge,0,1,0,1,0,,,,,,,
277,whiteinge,0,2,0,1,0,,,,,,,
276,jeblair,0,1,1,0,0,,,,,,,
283,whiteinge,0,1,0,1,0,,,,,,,
282,KB1JWQ,1,1,0,1,0,,,,,,,
281,jraman,0,1,0,0,0,,,,,,,
286,JensRantil,0,1,0,0,0,,,,,,,
285,mattrobenolt,0,1,0,0,0,,,,,,,
284,whiteinge,0,1,0,1,0,,,,,,,
258,epoelke,1,7,0,1,0,,,,,,,
259,torhve,0,1,0,1,0,,,,,,,
256,torhve,1,1,0,1,0,,,,,,,
257,carlopires,0,1,0,1,0,,,,,,,
262,Mistobaan,0,17,0,0,0,,,,,,,
263,markusgattol,0,18,0,1,0,,,,,,,
260,jglazner,0,4,0,0,0,,,,,,,
261,jglazner,0,1,0,1,0,,,,,,,
267,msabramo,0,1,4,0,0,,,,,,,
